battle,link,date,coordinates
Battle at Bae de Bic,https://en.wikipedia.org/wiki/Bic_National_Park,1534 AD,48.350°N 68.783°W
Conquest of Tunis,https://en.wikipedia.org/wiki/Conquest_of_Tunis_(1535),1535 AD,36.800°N 10.167°E
Battle of Un no Kuchi,https://en.wikipedia.org/wiki/Battle_of_Un_no_Kuchi,1536 AD,36.03703611°N 138.49562194°E
Battle of Reynogüelén (1536),https://en.wikipedia.org/wiki/Battle_of_Reynog%C3%BCel%C3%A9n_(1536),1536 AD,36.64722°S 72.45528°W
Battle of Abancay,https://en.wikipedia.org/wiki/Battle_of_Abancay,1537 AD,13.633°S 72.883°W
Battle of Las Salinas,https://en.wikipedia.org/wiki/Battle_of_Las_Salinas,1538 AD,13.56667°S 71.97806°W
Battle of Preveza,https://en.wikipedia.org/wiki/Battle_of_Preveza,1538 AD,38.95917°N 20.75028°E
Siege of Diu (1538),https://en.wikipedia.org/wiki/Siege_of_Diu_(1538),1538 AD,20°N 71°E
Battle of Tocarema,https://en.wikipedia.org/wiki/Battle_of_Tocarema,1538 AD,4.75056°N 74.43472°W
Battle of Sezawa,https://en.wikipedia.org/wiki/Battle_of_Sezawa,1542 AD,35.896028°N 138.244583°E
Battle of Haddon Rig,https://en.wikipedia.org/wiki/Battle_of_Haddon_Rig,1542 AD,55.60°N 2.35°W
Battle of Chupas,https://en.wikipedia.org/wiki/Battle_of_Chupas,1542 AD,13.2539°S 74.22566°W
Battle of Solway Moss,https://en.wikipedia.org/wiki/Battle_of_Solway_Moss,1542 AD,55.011°N 3.026°W
Battle of Azukizaka,https://en.wikipedia.org/wiki/Battle_of_Azukizaka_(1542),1542 AD,34.930310889°N 137.178297694°E
Siege of Uehara,https://en.wikipedia.org/wiki/Siege_of_Uehara,1542 AD,36.00884806°N 138.14900611°E
Battle of Alltan-Beath,https://en.wikipedia.org/wiki/Battle_of_Alltan-Beath,1542 AD,58.031°N 4.116°W
Siege of Perpignan,https://en.wikipedia.org/wiki/Siege_of_Perpignan_(1542),1542 AD,42.6986°N 2.8956°E
Siege of Nice,https://en.wikipedia.org/wiki/Siege_of_Nice,1543 AD,43.7°N 7.26667°E
Battle of Ceresole,https://en.wikipedia.org/wiki/Battle_of_Ceresole,1544 AD,44.805°N 7.845°E
First Siege of Boulogne,https://en.wikipedia.org/wiki/First_Siege_of_Boulogne,1544 AD,50.7264°N 1.6147°E
Second Siege of Boulogne,https://en.wikipedia.org/wiki/Second_Siege_of_Boulogne,1544 AD,50.7264°N 1.6147°E
Battle of the Shirts,https://en.wikipedia.org/wiki/Battle_of_the_Shirts,1544 AD,57.03028°N 4.81889°W
Battle of Ancrum Moor,https://en.wikipedia.org/wiki/Battle_of_Ancrum_Moor,1545 AD,55.53675°N 2.60758°W
Siege of Takatō,https://en.wikipedia.org/wiki/Siege_of_Takat%C5%8D_(1545),1545 AD,35.8330806°N 138.0628000°E
Battle of the Solent,https://en.wikipedia.org/wiki/Battle_of_the_Solent,1545 AD,50.77750°N 1.22639°W
Battle of Bonchurch,https://en.wikipedia.org/wiki/Battle_of_Bonchurch,1545 AD,50.6034611°N 1.1987306°W
Battle of Kawagoe,https://en.wikipedia.org/wiki/Battle_of_Kawagoe,1545 AD,35.9244°N 139.4914°E
Battle of Mühlberg,https://en.wikipedia.org/wiki/Battle_of_M%C3%BChlberg,1547 AD,51.43306°N 13.21667°E
Battle of Pinkie,https://en.wikipedia.org/wiki/Battle_of_Pinkie,1547 AD,55.9304°N 3.0211°W
Battle of Uedahara,https://en.wikipedia.org/wiki/Battle_of_Uedahara,1548 AD,36.395694°N 138.213306°E
Battle of Shirojiritoge,https://en.wikipedia.org/wiki/Battle_of_Shirojiritoge,1548 AD,36.069889°N 138.027722°E
Battle of Jaquijahuana,https://en.wikipedia.org/wiki/Battle_of_Jaquijahuana,1548 AD,13.46833°S 72.20667°W
Battle of Kamphaeng Phet,https://en.wikipedia.org/wiki/Kamphaeng_Phet,1549 AD,16.48111°N 99.52222°E
Battle of Sauðafell,https://en.wikipedia.org/wiki/Battle_of_Sau%C3%B0afell,1550 AD,65.01722°N 21.64833°W
Siege of Tripoli,https://en.wikipedia.org/wiki/Siege_of_Tripoli_(1551),1551 AD,32.90222°N 13.18583°E
Sieges of Toishi,https://en.wikipedia.org/wiki/Sieges_of_Toishi,1551 AD,36.42447889°N 138.29150500°E
Siege of Eger,https://en.wikipedia.org/wiki/Siege_of_Eger_(1552),1552 AD,47.9039000°N 20.3794000°E
Capture of Muscat,https://en.wikipedia.org/wiki/Capture_of_Muscat_(1552),1552 AD,23.60861°N 58.59194°E
First Battle of Kawanakajima,https://en.wikipedia.org/wiki/Battles_of_Kawanakajima,1553 AD,36.648611°N 138.194722°E
Battle of Sievershausen,https://en.wikipedia.org/wiki/Battle_of_Sievershausen,1553 AD,52.37583°N 10.11278°E
Battle of Marihueñu,https://en.wikipedia.org/wiki/Battle_of_Marihue%C3%B1u,1554 AD,37.15833°S 73.17639°W
Battle of the Gulf of Oman,https://en.wikipedia.org/wiki/Battle_of_the_Gulf_of_Oman,1554 AD,25°N 58°E
Battle of Tadla,https://en.wikipedia.org/wiki/Battle_of_Tadla,1554 AD,32.33333°N 6.35000°W
Battle of Oshikibata,https://en.wikipedia.org/wiki/Battle_of_Oshikibata,1554 AD,34.356889°N 132.284333°E
Second Battle of Kawanakajima,https://en.wikipedia.org/wiki/Battles_of_Kawanakajima,1555 AD,36.648611°N 138.194722°E
Battle at Machhiwara,https://en.wikipedia.org/wiki/Battle_at_Machhiwara,1555 AD,30.91°N 76.2°E
Battle of Miyajima,https://en.wikipedia.org/wiki/Battle_of_Miyajima,1555 AD,34.301611°N 132.322306°E
Battle of Nagara-gawa,https://en.wikipedia.org/wiki/Battle_of_Nagara-gawa,1556 AD,35.445083°N 136.763500°E
Second battle of Panipat,https://en.wikipedia.org/wiki/Second_battle_of_Panipat,1556 AD,29.39°N 76.97°E
