battle,link,date
Fall of Tarbisu,https://en.wikipedia.org/wiki/Fall_of_Tarbisu,615 BC
Fall of Assur,https://en.wikipedia.org/wiki/Fall_of_Assur,614 BC
Battle of Nineveh,https://en.wikipedia.org/wiki/Battle_of_Nineveh_(612_BC),612 BC
Battle of Megiddo,https://en.wikipedia.org/wiki/Battle_of_Megiddo_(609_BC),609 BC
Fall of Harran,https://en.wikipedia.org/wiki/Fall_of_Harran,609 BC
Siege of Harran,https://en.wikipedia.org/wiki/Siege_of_Harran,609 BC
Battle of Carchemish,https://en.wikipedia.org/wiki/Battle_of_Carchemish,605 BC
Battle of Hamath,https://en.wikipedia.org/wiki/Battle_of_Hamath,605 BC
Siege of Jerusalem (597 BC),https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(597_BC),597 BC
Battle of Bi,https://en.wikipedia.org/wiki/Battle_of_Bi,595 BC
Battle of An,https://en.wikipedia.org/wiki/Battle_of_An,588 BC
Siege of Jerusalem (587 BC),https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(587_BC),587 BC
Siege of Tyre (586–573 BC),https://en.wikipedia.org/wiki/Siege_of_Tyre_(586%E2%80%93573_BC),586-573 BC
Battle of Halys,https://en.wikipedia.org/wiki/Battle_of_Halys_(585_BC),585 BC
Siege of Kirrha,https://en.wikipedia.org/wiki/Siege_of_Kirrha,585 BC
Battle of Yanling,https://en.wikipedia.org/wiki/Battle_of_Yanling,575 BC
Battle of Hyrba,https://en.wikipedia.org/wiki/Battle_of_Hyrba,552 BC
Battle of the Median Border,https://en.wikipedia.org/wiki/Battle_of_the_Median_Border,551 BC
Battle of the Fetters,https://en.wikipedia.org/wiki/Battle_of_the_Fetters,550 BC
Battle of Pasargadae,https://en.wikipedia.org/wiki/Battle_of_Pasargadae,550 BC
Battle of Pteria,https://en.wikipedia.org/wiki/Battle_of_Pteria,547 BC
Battle of Thymbra,https://en.wikipedia.org/wiki/Battle_of_Thymbra,547 BC
Siege of Sardis (547 BC),https://en.wikipedia.org/wiki/Siege_of_Sardis_(547_BC),547 BC
Battle of The 300 Champions,https://en.wikipedia.org/wiki/Battle_of_The_300_Champions,545 BC
Battle of Alalia,https://en.wikipedia.org/wiki/Battle_of_Alalia,540 BC
Siege of Xanthos,https://en.wikipedia.org/wiki/Xanthos,540 BC
Battle of Opis,https://en.wikipedia.org/wiki/Battle_of_Opis,539 BC-538 BC
Battle of Pelusium,https://en.wikipedia.org/wiki/Battle_of_Pelusium,525 BC
Battle of Silva Arsia,https://en.wikipedia.org/wiki/Battle_of_Silva_Arsia,509 BC
Siege of Rome (508 BC),https://en.wikipedia.org/wiki/Siege_of_Rome_(508_BC),508 BC
Battle of Bai ju,https://en.wikipedia.org/wiki/Battle_of_Bai_ju,506 BC
Battle of Pometia,https://en.wikipedia.org/wiki/Battle_of_Pometia,502 BC
Siege of Naxos,https://en.wikipedia.org/wiki/Siege_of_Naxos_(499_BC),499 BC
Siege of Sardis,https://en.wikipedia.org/wiki/Ionian_Revolt,498 BC
Battle of Ephesus,https://en.wikipedia.org/wiki/Battle_of_Ephesus_(498_BC),498 BC
Battle of Lake Regillus,https://en.wikipedia.org/wiki/Battle_of_Lake_Regillus,496 BC
Battle of Lade,https://en.wikipedia.org/wiki/Battle_of_Lade,494 BC
Battle of Sepeia,https://en.wikipedia.org/wiki/Battle_of_Sepeia,494 BC
Siege of Naxos (490 BC),https://en.wikipedia.org/wiki/First_Persian_invasion_of_Greece,490 BC
Siege of Eretria,https://en.wikipedia.org/wiki/Siege_of_Eretria,490 BC
Battle of Marathon,https://en.wikipedia.org/wiki/Battle_of_Marathon,490 BC
Battle of Thermopylae,https://en.wikipedia.org/wiki/Battle_of_Thermopylae,480 BC
Battle of Artemisium,https://en.wikipedia.org/wiki/Battle_of_Artemisium,480 BC
Battle of Salamis,https://en.wikipedia.org/wiki/Battle_of_Salamis,480 BC
Battle of Himera,https://en.wikipedia.org/wiki/Battle_of_Himera_(480_BC),480 BC
Battle of Plataea,https://en.wikipedia.org/wiki/Battle_of_Plataea,479 BC
Battle of Mycale,https://en.wikipedia.org/wiki/Battle_of_Mycale,479 BC
Siege of Sestos,https://en.wikipedia.org/wiki/Siege_of_Sestos,479 BC
Siege of Byzantium (478 BC),https://en.wikipedia.org/wiki/Siege_of_Byzantium_(478_BC),478 BC
Battle of Lize,https://en.wikipedia.org/wiki/Battle_of_Lize,478 BC
Battle of the Cremera,https://en.wikipedia.org/wiki/Battle_of_the_Cremera,477 BC
Siege of Eion,https://en.wikipedia.org/wiki/Wars_of_the_Delian_League,475 BC
Battle of Cumae,https://en.wikipedia.org/wiki/Battle_of_Cumae,474 BC
Battle of Kailia,https://en.wikipedia.org/wiki/Iapygian-Tarentine_Wars,473 BC
Battle of the Eurymedon,https://en.wikipedia.org/wiki/Battle_of_the_Eurymedon,466 BC
Battle of Mount Algidus,https://en.wikipedia.org/wiki/Battle_of_Mount_Algidus,458 BC
Battle of Aegina,https://en.wikipedia.org/wiki/Battle_of_Aegina,458 BC
Battle of Tanagra,https://en.wikipedia.org/wiki/Battle_of_Tanagra_(457_BC),457 BC
Battle of Oenophyta,https://en.wikipedia.org/wiki/Battle_of_Oenophyta,457 BC
Siege of Prosoptis,https://en.wikipedia.org/wiki/Siege_of_Prosoptis,454 BC
