battle,link,date
Siege of Vladimir,https://en.wikipedia.org/wiki/Siege_of_Vladimir,1238 AD
Battle of the Sit River,https://en.wikipedia.org/wiki/Battle_of_the_Sit_River,1238 AD
Siege of Kozelsk,https://en.wikipedia.org/wiki/Siege_of_Kozelsk,1238 AD
Siege of Brescia,https://en.wikipedia.org/wiki/Siege_of_Brescia,1238 AD
Siege of Faenza,https://en.wikipedia.org/wiki/Siege_of_Faenza,1239 AD
Battle of Gaza,https://en.wikipedia.org/wiki/Battle_at_Gaza_(1239),1239 AD
Sack of Chernigov,https://en.wikipedia.org/wiki/Sack_of_Chernigov,1239 AD
Battle of the Neva,https://en.wikipedia.org/wiki/Battle_of_the_Neva,1240 AD
Siege of Kiev,https://en.wikipedia.org/wiki/Siege_of_Kiev_(1240),1240 AD
Sack of Sandomierz,https://en.wikipedia.org/wiki/Sack_of_Sandomierz_(1241),1241 AD
Battle of Tursko,https://en.wikipedia.org/wiki/Battle_of_Tursko,1241 AD
Battle of Tarczek,https://en.wikipedia.org/wiki/Battle_of_Tarczek,1241 AD
Battle of Chmielnik,https://en.wikipedia.org/wiki/Battle_of_Chmielnik,1241 AD
Sack of Kraków,https://en.wikipedia.org/wiki/Sack_of_Krak%C3%B3w_(1241),1241 AD
Battle of Racibórz,https://en.wikipedia.org/wiki/Battle_of_Racib%C3%B3rz,1241 AD
Battle of Opole,https://en.wikipedia.org/wiki/Battle_of_Opole,1241 AD
Battle of Liegnitz,https://en.wikipedia.org/wiki/Battle_of_Legnica,1241 AD
Battle of Mohi,https://en.wikipedia.org/wiki/Battle_of_Mohi,1241 AD
Siege of Esztergom,https://en.wikipedia.org/wiki/Siege_of_Esztergom_(1241),1242 AD
Battle on Lake Peipus,https://en.wikipedia.org/wiki/Battle_on_Lake_Peipus,1242 AD
Battle of Taillebourg,https://en.wikipedia.org/wiki/Battle_of_Taillebourg,1242 AD
Battle of Grobnik Field,https://en.wikipedia.org/wiki/Battle_of_Grobnik_Field,1242 AD
Siege of Viterbo,https://en.wikipedia.org/wiki/Siege_of_Viterbo,1243 AD
Siege of Montségur,https://en.wikipedia.org/wiki/Siege_of_Monts%C3%A9gur,1243–1244 AD
Battle of Kösedağ,https://en.wikipedia.org/wiki/Battle_of_K%C3%B6seda%C4%9F,1243 AD
Siege of Jerusalem,https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(1244),1244 AD
Battle of La Forbie,https://en.wikipedia.org/wiki/Battle_of_La_Forbie,1244 AD
Siege of Jaén,https://en.wikipedia.org/wiki/Siege_of_Ja%C3%A9n_(1245%E2%80%931246),1245–1246 AD
Battle of Haugsnes,https://en.wikipedia.org/wiki/Battle_of_Haugsnes,1246 AD
Battle of the Leitha River,https://en.wikipedia.org/wiki/Battle_of_the_Leitha_River,1246 AD
Siege of Seville,https://en.wikipedia.org/wiki/Siege_of_Seville,1247–1248 AD
Sack of Dun Gallimhe,https://en.wikipedia.org/wiki/Sack_of_Dun_Gallimhe,1247 AD
Battle of Ballyshannon,https://en.wikipedia.org/wiki/Battle_of_Ballyshannon_(1247),1247 AD
Battle of Parma,https://en.wikipedia.org/wiki/Battle_of_Parma,1248 AD
Battle of Fossalta,https://en.wikipedia.org/wiki/Battle_of_Fossalta,1249 AD
Siege of Damietta,https://en.wikipedia.org/wiki/Siege_of_Damietta_(1249),1249 AD
First Battle of Athenry,https://en.wikipedia.org/wiki/First_Battle_of_Athenry,1249 AD
Battle of Al Mansurah,https://en.wikipedia.org/wiki/Battle_of_Al_Mansurah,1250 AD
Battle of Fariskur,https://en.wikipedia.org/wiki/Battle_of_Fariskur,1250 AD
Battle of Cingoli,https://en.wikipedia.org/wiki/Battle_of_Cingoli,1250 AD
Battle of Adrianople,https://en.wikipedia.org/wiki/Battle_of_Adrianople_(1254),1254 AD
Battle of Montebruno,https://en.wikipedia.org/wiki/Battle_of_Montebruno,1255 AD
Battle of Bryn Derwin,https://en.wikipedia.org/wiki/Battle_of_Bryn_Derwin,1255 AD
Battle of Mount Siyalan,https://en.wikipedia.org/wiki/Mongol_campaign_against_the_Nizaris,1256 AD
Siege of Firuzkuh,https://en.wikipedia.org/wiki/Mongol_campaign_against_the_Nizaris,1256 AD
Siege of Maymun-Diz,https://en.wikipedia.org/wiki/Siege_of_Maymun-Diz,1256 AD
Siege of Alamut,https://en.wikipedia.org/wiki/Mongol_campaign_against_the_Nizaris,1256 AD
Battle of Cadfan,https://en.wikipedia.org/wiki/Battle_of_Cadfan,1257 AD
Battle of Creadran Cille,https://en.wikipedia.org/wiki/Battle_of_Creadran_Cille,1257 AD
Battle of Memel,https://en.wikipedia.org/wiki/Battle_of_Memel_(1257),1257 AD
Battle of Bình Lệ Nguyên,https://en.wikipedia.org/wiki/Battle_of_B%C3%ACnh_L%E1%BB%87_Nguy%C3%AAn,1258 AD
Battle of Baghdad,https://en.wikipedia.org/wiki/Battle_of_Baghdad_(1258),1258 AD
Battle of Karydi,https://en.wikipedia.org/wiki/Battle_of_Karydi,1258 AD
Battle of Acre,https://en.wikipedia.org/wiki/Battle_of_Acre_(1258),1258 AD
Battle of Skuodas,https://en.wikipedia.org/wiki/Battle_of_Skuodas,1259 AD
Battle of Pelagonia,https://en.wikipedia.org/wiki/Battle_of_Pelagonia,1259 AD
Battle of Cassano,https://en.wikipedia.org/wiki/Battle_of_Cassano_(1259),1259 AD
Siege of Diaoyu Castle,https://en.wikipedia.org/wiki/Siege_of_Diaoyu_Castle,1259 AD
Siege of Aleppo,https://en.wikipedia.org/wiki/Siege_of_Aleppo_(1260),1260 AD
Sack of Sandomierz,https://en.wikipedia.org/wiki/Sack_of_Sandomierz_(1260),1260 AD
Battle of Durbe,https://en.wikipedia.org/wiki/Battle_of_Durbe,1260 AD
Battle of Kressenbrunn,https://en.wikipedia.org/wiki/Battle_of_Kressenbrunn,1260 AD
Battle of Ain Jalut,https://en.wikipedia.org/wiki/Battle_of_Ain_Jalut,1260 AD
Battle of Montaperti,https://en.wikipedia.org/wiki/Battle_of_Montaperti,1260 AD
Siege of Constantinople,https://en.wikipedia.org/wiki/Siege_of_Constantinople_(1260),1260 AD
Battle of Callann,https://en.wikipedia.org/wiki/Battle_of_Callann,1261 AD
Battle of Hausbergen,https://en.wikipedia.org/wiki/Battle_of_Hausbergen,1262 AD
Battle of Terek River,https://en.wikipedia.org/wiki/Berke%E2%80%93Hulagu_war,1262 AD
Battle of Largs,https://en.wikipedia.org/wiki/Battle_of_Largs,1263 AD
Battle of Prinitza,https://en.wikipedia.org/wiki/Battle_of_Prinitza,1263 AD
Battle of Settepozzi,https://en.wikipedia.org/wiki/Battle_of_Settepozzi,1263 AD
Battle of Northampton,https://en.wikipedia.org/wiki/Battle_of_Northampton_(1264),1264 AD
Battle of Lewes,https://en.wikipedia.org/wiki/Battle_of_Lewes,1264 AD
Battle of Saseno,https://en.wikipedia.org/wiki/Battle_of_Saseno,1264 AD
Battle of Makryplagi,https://en.wikipedia.org/wiki/Battle_of_Makryplagi,1264 AD
Battle of Isaszeg,https://en.wikipedia.org/wiki/Battle_of_Isaszeg_(1265),1265 AD
Fall of Arsuf,https://en.wikipedia.org/wiki/Fall_of_Arsuf,1265 AD
Battle of Evesham,https://en.wikipedia.org/wiki/Battle_of_Evesham,1265 AD
Battle of Benevento,https://en.wikipedia.org/wiki/Battle_of_Benevento,1266 AD
Battle of Chesterfield,https://en.wikipedia.org/wiki/Battle_of_Chesterfield,1266 AD
Siege of Safed,https://en.wikipedia.org/wiki/Siege_of_Safed_(1266),1266 AD
Siege of Kenilworth,https://en.wikipedia.org/wiki/Siege_of_Kenilworth,1266 AD
Battle of Trapani,https://en.wikipedia.org/wiki/Battle_of_Trapani,1266 AD
Battle of Mari,https://en.wikipedia.org/wiki/Battle_of_Mari,1266 AD
Battle of Rakvere,https://en.wikipedia.org/wiki/Battle_of_Wesenberg_(1268),1268 AD
Siege of Antioch,https://en.wikipedia.org/wiki/Siege_of_Antioch_(1268),1268 AD
Battle of Xiangyang,https://en.wikipedia.org/wiki/Battle_of_Xiangyang,1267 AD
Battle of Tagliacozzo,https://en.wikipedia.org/wiki/Battle_of_Tagliacozzo,1268 AD
Battle of Colle Val d'Elsa,https://en.wikipedia.org/wiki/Battle_of_Colle_Val_d%27Elsa,1269 AD
Battle of Karuse,https://en.wikipedia.org/wiki/Battle_of_Karuse,1270 AD
Battle of Áth an gCeap,https://en.wikipedia.org/wiki/Battle_of_%C3%81th_an_gCeap,1270 AD
Fall of Krak des Chevaliers,https://en.wikipedia.org/wiki/Fall_of_Krak_des_Chevaliers,1271 AD
Battle of Jindo Island,https://en.wikipedia.org/wiki/Sambyeolcho_Rebellion,1271 AD
Siege of Tripoli,https://en.wikipedia.org/wiki/Siege_of_Tripoli_(1271),1271 AD
Battle of Bun'ei,https://en.wikipedia.org/wiki/Battle_of_Bun%27ei,1274 AD
Battle of Neopatras,https://en.wikipedia.org/wiki/Battle_of_Neopatras,1275 AD
Battle of Demetrias,https://en.wikipedia.org/wiki/Battle_of_Demetrias,1275 AD
Battle of Roccavione,https://en.wikipedia.org/wiki/Battle_of_Roccavione,1275 AD
Battle of Dongola (1276),https://en.wikipedia.org/wiki/Battle_of_Dongola_(1276),1276 AD
Battle of Desio,https://en.wikipedia.org/wiki/Battle_of_Desio,1277 AD
Battle of Ngasaunggyan,https://en.wikipedia.org/wiki/Battle_of_Ngasaunggyan,1277 AD
Battle of Elbistan,https://en.wikipedia.org/wiki/Battle_of_Elbistan,1277 AD
Battle of Marchfeld at Dürnkrut and Jedenspeigen,https://en.wikipedia.org/wiki/Battle_of_D%C3%BCrnkrut_and_Jedenspeigen,1278 AD
Battle of Aizkraukle,https://en.wikipedia.org/wiki/Battle_of_Aizkraukle,1279 AD
Battle of Yamen,https://en.wikipedia.org/wiki/Battle_of_Yamen,1279 AD
Siege of Berat,https://en.wikipedia.org/wiki/Siege_of_Berat_(1280%E2%80%931281),1280–1281 AD
Battle of Kōan,https://en.wikipedia.org/wiki/Battle_of_K%C5%8Dan,1281 AD
Battle of Homs,https://en.wikipedia.org/wiki/Second_Battle_of_Homs,1281 AD
Battle of Orewin Bridge,https://en.wikipedia.org/wiki/Battle_of_Orewin_Bridge,1282 AD
Battle of Thị Nại Bay,https://en.wikipedia.org/wiki/Battle_of_Th%E1%BB%8B_N%E1%BA%A1i_Bay,1283 AD
Battle of Chương Dương,https://en.wikipedia.org/wiki/Battle_of_Ch%C6%B0%C6%A1ng_D%C6%B0%C6%A1ng,1285 AD
Battle of Garoza,https://en.wikipedia.org/wiki/Battle_of_Garoza,1287 AD
Battle of Pagan,https://en.wikipedia.org/wiki/Battle_of_Pagan,1287 AD
Battle of Worringen,https://en.wikipedia.org/wiki/Battle_of_Worringen,1288 AD
Battle of Bạch Đằng (1288),https://en.wikipedia.org/wiki/Battle_of_B%E1%BA%A1ch_%C4%90%E1%BA%B1ng_(1288),1288 AD
Battle of Campaldino,https://en.wikipedia.org/wiki/Battle_of_Campaldino,1289 AD
Siege of Copenhagen (1289),https://en.wikipedia.org/wiki/Siege_of_Copenhagen_(1289),1289 AD
Battle of Skanör,https://en.wikipedia.org/wiki/Battle_of_Skan%C3%B6r,1289 AD
Fall of Tripoli (1289),https://en.wikipedia.org/wiki/Fall_of_Tripoli_(1289),1289 AD
Siege of Acre,https://en.wikipedia.org/wiki/Siege_of_Acre_(1291),1291 AD
Battle of Maes Moydog,https://en.wikipedia.org/wiki/Battle_of_Maes_Moydog,1295 AD
Battle of Dunbar,https://en.wikipedia.org/wiki/Battle_of_Dunbar_(1296),1296 AD
Battle of Curzota,https://en.wikipedia.org/wiki/Battle_of_Curzota,1296 AD
Battle of Stirling Bridge,https://en.wikipedia.org/wiki/Battle_of_Stirling_Bridge,1297 AD
Battle of Furnes,https://en.wikipedia.org/wiki/Battle_of_Furnes,1297 AD
Battle of Jaran-Manjur,https://en.wikipedia.org/wiki/Mongol_invasion_of_India_(1297%E2%80%931298),1298 AD
Battle of Turaida,https://en.wikipedia.org/wiki/Battle_of_Turaida,1298 AD
Battle of Göllheim,https://en.wikipedia.org/wiki/Battle_of_G%C3%B6llheim,1298 AD
Battle of Falkirk,https://en.wikipedia.org/wiki/Battle_of_Falkirk_(1298),1298 AD
Battle of Sivistan,https://en.wikipedia.org/wiki/Mongol_invasion_of_Sindh,1298 AD
Battle of Kili,https://en.wikipedia.org/wiki/Battle_of_Kili,1299 AD
First Siege of Stirling Castle,https://en.wikipedia.org/wiki/Stirling_Castle,1299 AD
Battle of Falconaria,https://en.wikipedia.org/wiki/Battle_of_Falconaria,1299 AD
Battle of Wadi al-Khaznadar,https://en.wikipedia.org/wiki/Battle_of_Wadi_al-Khaznadar,1299 AD
Battle of the Golden Spurs,https://en.wikipedia.org/wiki/Battle_of_the_Golden_Spurs,1302 AD
Battle of Bapheus,https://en.wikipedia.org/wiki/Battle_of_Bapheus,1302 AD
Battle of Dimbos,https://en.wikipedia.org/wiki/Battle_of_Dimbos,1303 AD
Siege of Chittorgarh (1303),https://en.wikipedia.org/wiki/Siege_of_Chittorgarh_(1303),1303 AD
Battle of Marj al-Saffar (1303),https://en.wikipedia.org/wiki/Battle_of_Marj_al-Saffar_(1303),1303 AD
Conquest of Sylhet,https://en.wikipedia.org/wiki/Conquest_of_Sylhet,1303 AD
Battle of Happrew,https://en.wikipedia.org/wiki/Battle_of_Happrew,1304 AD
Second Siege of Stirling Castle,https://en.wikipedia.org/wiki/Stirling_Castle,1304 AD
Battle of Mons-en-Pévèle,https://en.wikipedia.org/wiki/Battle_of_Mons-en-P%C3%A9v%C3%A8le,1304 AD
Battle of Amroha,https://en.wikipedia.org/wiki/Battle_of_Amroha,1305 AD
Battle of Methven,https://en.wikipedia.org/wiki/Battle_of_Methven,1306 AD
Battle of Loudoun Hill,https://en.wikipedia.org/wiki/Battle_of_Loudoun_Hill,1307 AD
Siege of Siwana,https://en.wikipedia.org/wiki/Siege_of_Siwana,1308 AD
Siege of Algeciras,https://en.wikipedia.org/wiki/Siege_of_Algeciras_(1309%E2%80%931310),1310 AD
Siege of Warangal,https://en.wikipedia.org/wiki/Siege_of_Warangal_(1310),1310 AD
Siege of Dwarasamudra,https://en.wikipedia.org/wiki/Siege_of_Dwarasamudra,1311 AD
Battle of Halmyros,https://en.wikipedia.org/wiki/Battle_of_Halmyros,1311 AD
Battle of Gallipoli,https://en.wikipedia.org/wiki/Battle_of_Gallipoli_(1312),1312 AD
Battle of Amorgos,https://en.wikipedia.org/wiki/Battle_of_Amorgos_(1312),1312 AD
Battle of Gammelsdorf,https://en.wikipedia.org/wiki/Battle_of_Gammelsdorf,1313 AD
Battle of Bannockburn,https://en.wikipedia.org/wiki/Battle_of_Bannockburn,1314 AD
Battle of Montecatini,https://en.wikipedia.org/wiki/Battle_of_Montecatini,1315 AD
Battle of Morgarten,https://en.wikipedia.org/wiki/Battle_of_Morgarten,1315 AD
Battle of Picotin,https://en.wikipedia.org/wiki/Battle_of_Picotin,1316 AD
Battle of Manolada,https://en.wikipedia.org/wiki/Battle_of_Manolada,1316 AD
Second Battle of Athenry,https://en.wikipedia.org/wiki/Second_Battle_of_Athenry,1316 AD
Battle of Dysert O'Dea,https://en.wikipedia.org/wiki/Battle_of_Dysert_O%27Dea,1318 AD
Battle of Faughart,https://en.wikipedia.org/wiki/Battle_of_Faughart,1318 AD
Battle of Chios,https://en.wikipedia.org/wiki/Battle_of_Chios_(1319),1319 AD
Battle of Saint George,https://en.wikipedia.org/wiki/Battle_of_Saint_George,1320 AD
Battle of Bliska,https://en.wikipedia.org/wiki/Battle_of_Bliska,1322 AD
Battle of Burton Bridge,https://en.wikipedia.org/wiki/Battle_of_Burton_Bridge_(1322),1322 AD
Battle of Boroughbridge,https://en.wikipedia.org/wiki/Battle_of_Boroughbridge,1322 AD
Battle of Mühldorf,https://en.wikipedia.org/wiki/Battle_of_M%C3%BChldorf,1322 AD
Siege of Warangal (1323),https://en.wikipedia.org/wiki/Siege_of_Warangal_(1323),1323 AD
Siege of Villa di Chiesa,https://en.wikipedia.org/wiki/Siege_of_Villa_di_Chiesa,1324 AD
Battle of Lucocisterna,https://en.wikipedia.org/wiki/Battle_of_Lucocisterna,1324 AD
Battle of Zappolino,https://en.wikipedia.org/wiki/Battle_of_Zappolino,1325 AD
Battle of Varey,https://en.wikipedia.org/wiki/Battle_of_Varey,1325 AD
Siege of Bursa,https://en.wikipedia.org/wiki/Siege_of_Bursa,1326 AD
Battle of Cassel,https://en.wikipedia.org/wiki/Battle_of_Cassel_(1328),1328 AD
Siege of Medvėgalis,https://en.wikipedia.org/wiki/Siege_of_Medv%C4%97galis,1329 AD
Battle of Pelekanon,https://en.wikipedia.org/wiki/Battle_of_Pelekanon,1329 AD
Battle of Ardnocher,https://en.wikipedia.org/wiki/Battle_of_Ardnocher,1329 AD
Battle of Velbazhd,https://en.wikipedia.org/wiki/Battle_of_Velbazhd,1330 AD
Battle of Posada,https://en.wikipedia.org/wiki/Battle_of_Posada,1330 AD
Battle of Fiodh-an-Átha,https://en.wikipedia.org/wiki/Battle_of_Fiodh-an-%C3%81tha,1330 AD
Siege of Nicaea,https://en.wikipedia.org/wiki/Siege_of_Nicaea_(1328%E2%80%931331),1331 AD
Battle of Rusokastro,https://en.wikipedia.org/wiki/Battle_of_Rusokastro,1332 AD
Battle of Kinghorn,https://en.wikipedia.org/wiki/Battle_of_Kinghorn,1332 AD
Battle of Dupplin Moor,https://en.wikipedia.org/wiki/Battle_of_Dupplin_Moor,1332 AD
Battle of Płowce,https://en.wikipedia.org/wiki/Battle_of_P%C5%82owce,1332 AD
Battle of Annan,https://en.wikipedia.org/wiki/Battle_of_Annan,1332 AD
Battle of Halidon Hill,https://en.wikipedia.org/wiki/Battle_of_Halidon_Hill,1333 AD
Battle of Minatogawa,https://en.wikipedia.org/wiki/Battle_of_Minatogawa,1336 AD
Battle of Cadzand,https://en.wikipedia.org/wiki/Battle_of_Cadzand,1337 AD
Siege of Kanegasaki,https://en.wikipedia.org/wiki/Siege_of_Kanegasaki_(1337),1337 AD
Battle of Arnemuiden,https://en.wikipedia.org/wiki/Battle_of_Arnemuiden,1338 AD
Battle of Parabiago,https://en.wikipedia.org/wiki/Battle_of_Parabiago,1339 AD
Battle of Sluys,https://en.wikipedia.org/wiki/Battle_of_Sluys,1340 AD
Battle of Saint-Omer,https://en.wikipedia.org/wiki/Battle_of_Saint-Omer,1340 AD
Battle of Río Salado,https://en.wikipedia.org/wiki/Battle_of_R%C3%ADo_Salado,1340 AD
Battle of Champtoceaux,https://en.wikipedia.org/wiki/Battle_of_Champtoceaux,1341 AD
Battle of Brest,https://en.wikipedia.org/wiki/Battle_of_Brest_(1342),1342 AD
Battle of Morlaix,https://en.wikipedia.org/wiki/Battle_of_Morlaix,1342 AD
Battle of Stephaniana,https://en.wikipedia.org/wiki/Battle_of_Stephaniana,1344 AD
Battle of Auberoche,https://en.wikipedia.org/wiki/Battle_of_Auberoche,1345 AD
Battle of Gamenario,https://en.wikipedia.org/wiki/Battle_of_Gamenario,1345 AD
Battle of Peritheorion,https://en.wikipedia.org/wiki/Battle_of_Peritheorion,1345 AD
Battle of Warns,https://en.wikipedia.org/wiki/Battle_of_Warns,1345 AD
Battle of St Pol de Léon,https://en.wikipedia.org/wiki/Battle_of_St_Pol_de_L%C3%A9on,1346 AD
Battle of Caen,https://en.wikipedia.org/wiki/Battle_of_Caen_(1346),1346 AD
Battle of Blanchetaque,https://en.wikipedia.org/wiki/Battle_of_Blanchetaque,1346 AD
Battle of Crécy,https://en.wikipedia.org/wiki/Battle_of_Cr%C3%A9cy,1346 AD
Battle of Neville's Cross,https://en.wikipedia.org/wiki/Battle_of_Neville%27s_Cross,1346 AD
Siege of Calais,https://en.wikipedia.org/wiki/Siege_of_Calais_(1346%E2%80%931347),1347 AD
Battle of La Roche-Derrien,https://en.wikipedia.org/wiki/Battle_of_La_Roche-Derrien,1347 AD
Battle of Lunalonge,https://en.wikipedia.org/wiki/Battle_of_Lunalonge,1349 AD
Battle of Llucmajor,https://en.wikipedia.org/wiki/Battle_of_Llucmajor,1349 AD
Les Espagnols sur Mer,https://en.wikipedia.org/wiki/Les_Espagnols_sur_Mer,1350 AD
Combat of the Thirty,https://en.wikipedia.org/wiki/Combat_of_the_Thirty,1351 AD
Battle of Saintes,https://en.wikipedia.org/wiki/Battle_of_Saintes,1351 AD
Battle of Ardres,https://en.wikipedia.org/wiki/Battle_of_Ardres,1351 AD
Battle of Mauron,https://en.wikipedia.org/wiki/Battle_of_Mauron,1352 AD
Battle of Sapienza,https://en.wikipedia.org/wiki/Battle_of_Sapienza,1354 AD
Fall of Gallipoli,https://en.wikipedia.org/wiki/Fall_of_Gallipoli,1354 AD
Battle of Poitiers,https://en.wikipedia.org/wiki/Battle_of_Poitiers,1356 AD
Battle of Bubat,https://en.wikipedia.org/wiki/Battle_of_Bubat,1357 AD
Battle of Mello,https://en.wikipedia.org/wiki/Battle_of_Mello,1358 AD
Battle of Achelous,https://en.wikipedia.org/wiki/Battle_of_Achelous_(1359),1359 AD
Battle of Campo delle Mosche,https://en.wikipedia.org/wiki/Battle_of_Campo_delle_Mosche,1359 AD
Battle of Visby,https://en.wikipedia.org/wiki/Battle_of_Visby,1361 AD
Battle of Helsingborg,https://en.wikipedia.org/wiki/Battle_of_Helsingborg_(1362),1362 AD
Battle of Brignais,https://en.wikipedia.org/wiki/Battle_of_Brignais,1362 AD
Siege of Kaunas,https://en.wikipedia.org/wiki/Siege_of_Kaunas,1362 AD
Battle of Guadix,https://en.wikipedia.org/wiki/Battle_of_Guadix,1362 AD
Battle of Blue Waters,https://en.wikipedia.org/wiki/Battle_of_Blue_Waters,1362/1363 AD
Battle of Lake Poyang,https://en.wikipedia.org/wiki/Battle_of_Lake_Poyang,1363 AD
Battle of Cocherel,https://en.wikipedia.org/wiki/Battle_of_Cocherel,1364 AD
Battle of Cascina,https://en.wikipedia.org/wiki/Battle_of_Cascina,1364 AD
Battle of Auray,https://en.wikipedia.org/wiki/Battle_of_Auray,1364 AD
Battle of Adrianople,https://en.wikipedia.org/wiki/Battle_of_Adrianople_(1365),1365 AD
Battle of Nájera,https://en.wikipedia.org/wiki/Battle_of_N%C3%A1jera,1367 AD
First Albanian Siege of Ioannina,https://en.wikipedia.org/wiki/Peter_Losha,1367 AD
Battle of Montiel,https://en.wikipedia.org/wiki/Battle_of_Montiel,1369 AD
Siege of Algeciras (1369),https://en.wikipedia.org/wiki/Siege_of_Algeciras_(1369),1369 AD
Battle of Rudau,https://en.wikipedia.org/wiki/Battle_of_Rudau,1370 AD
Battle of Pontvallain,https://en.wikipedia.org/wiki/Battle_of_Pontvallain,1370 AD
Siege of Balkh (1370),https://en.wikipedia.org/wiki/Siege_of_Balkh_(1370),1370 AD
Battle of Baesweiler,https://en.wikipedia.org/wiki/Battle_of_Baesweiler,1371 AD
Battle of Maritsa,https://en.wikipedia.org/wiki/Battle_of_Maritsa,1371 AD
Battle of La Rochelle,https://en.wikipedia.org/wiki/Battle_of_La_Rochelle,1372 AD
Battle of Chiset,https://en.wikipedia.org/wiki/Battle_of_Chiset,1373 AD
Cesena Bloodbath,https://en.wikipedia.org/wiki/Cesena_Bloodbath,1377 AD
Battle on Pyana River,https://en.wikipedia.org/wiki/Battle_on_Pyana_River,1377 AD
Battle of Dubravnica,https://en.wikipedia.org/wiki/Battle_of_Dubravnica,1377 AD
Battle of the Vozha River,https://en.wikipedia.org/wiki/Battle_of_the_Vozha_River,1378 AD
Knights Hospitaller Invasion of Arta,https://en.wikipedia.org/wiki/Despotate_of_Arta,1378 AD
Battle of Kulikovo,https://en.wikipedia.org/wiki/Battle_of_Kulikovo,1380 AD
Second Battle of the Kalka River,https://en.wikipedia.org/wiki/Battle_of_the_Kalka_River_(1381),1381 AD
Battle of North Walsham,https://en.wikipedia.org/wiki/Battle_of_North_Walsham,1381 AD
Battle of Roosebeke,https://en.wikipedia.org/wiki/Battle_of_Roosebeke,1382 AD
Siege of Moscow (1382),https://en.wikipedia.org/wiki/Siege_of_Moscow_(1382),1382 AD
Battle of Atoleiros,https://en.wikipedia.org/wiki/Battle_of_Atoleiros,1384 AD
Siege of Lisbon,https://en.wikipedia.org/wiki/Siege_of_Lisbon_(1384),1384 AD
Battle of Leça,https://en.wikipedia.org/wiki/Battle_of_Le%C3%A7a,1384 AD
Battle of Tejo,https://en.wikipedia.org/wiki/Naval_Battle_of_the_Tejo,1384 AD
Battle of Tochar Cruachain-Bri-Ele,https://en.wikipedia.org/wiki/Battle_of_Tochar_Cruachain-Bri-Ele,1385 AD
Battle of Trancoso,https://en.wikipedia.org/wiki/Battle_of_Trancoso,1385 AD
Battle of Aljubarrota,https://en.wikipedia.org/wiki/Battle_of_Aljubarrota,1385 AD
Battle of Valverde,https://en.wikipedia.org/wiki/Battle_of_Valverde_(1385),1385 AD
Battle of Savra,https://en.wikipedia.org/wiki/Battle_of_Savra,1385 AD
Battle of the Vikhra River,https://en.wikipedia.org/wiki/Battle_of_the_Vikhra_River,1386 AD
Battle of Sempach,https://en.wikipedia.org/wiki/Battle_of_Sempach,1386 AD
Battle of Pločnik,https://en.wikipedia.org/wiki/Battle_of_Plo%C4%8Dnik,1386 AD
Siege of Tbilisi (1386),https://en.wikipedia.org/wiki/Siege_of_Tbilisi_(1386),1386 AD
Battle of Castagnaro,https://en.wikipedia.org/wiki/Battle_of_Castagnaro,1387 AD
Battle of Margate,https://en.wikipedia.org/wiki/Battle_of_Margate,1387 AD
Siege of Isfahan (1387),https://en.wikipedia.org/wiki/Siege_of_Isfahan_(1387),1387 AD
Battle of Radcot Bridge,https://en.wikipedia.org/wiki/Battle_of_Radcot_Bridge,1387 AD
Battle of Buir Lake,https://en.wikipedia.org/wiki/Battle_of_Buir_Lake,1388 AD
Battle of Otterburn,https://en.wikipedia.org/wiki/Battle_of_Otterburn,1388 AD
Battle of Bileća,https://en.wikipedia.org/wiki/Battle_of_Bile%C4%87a,1388 AD
Battle of Kosovo Polje,https://en.wikipedia.org/wiki/Battle_of_Kosovo_Polje,1389 AD
Battle of Alessandria,https://en.wikipedia.org/wiki/Battle_of_Alessandria,1391 AD
Battle of the Kondurcha River,https://en.wikipedia.org/wiki/Battle_of_the_Kondurcha_River,1391 AD
Battle of Rovine,https://en.wikipedia.org/wiki/Battle_of_Rovine,1394 AD
Battle of the Terek River,https://en.wikipedia.org/wiki/Battle_of_the_Terek_River,1395 AD
Battle of Portomaggiore,https://en.wikipedia.org/wiki/Battle_of_Portomaggiore,1395 AD
Battle of the North Inch,https://en.wikipedia.org/wiki/Battle_of_the_North_Inch,1396 AD
Battle of Nicopolis,https://en.wikipedia.org/wiki/Battle_of_Nicopolis,1396 AD
Battle of Tragh-Bhaile,https://en.wikipedia.org/wiki/Battle_of_Tragh-Bhaile,1399 AD
Battle of the Vorskla River,https://en.wikipedia.org/wiki/Battle_of_the_Vorskla_River,1399 AD
Siege of Damascus (1400),https://en.wikipedia.org/wiki/Siege_of_Damascus_(1400),1400 AD
Battle of Mynydd Hyddgen,https://en.wikipedia.org/wiki/Battle_of_Mynydd_Hyddgen,1401 AD
Battle of Tuthill,https://en.wikipedia.org/wiki/Battle_of_Tuthill,1401 AD
Battle of Casalecchio,https://en.wikipedia.org/wiki/Battle_of_Casalecchio,1402 AD
Battle of Bryn Glas,https://en.wikipedia.org/wiki/Battle_of_Bryn_Glas,1402 AD
Battle of Angora,https://en.wikipedia.org/wiki/Battle_of_Angora,1402 AD
Battle of Nesbit Moor,https://en.wikipedia.org/wiki/Battle_of_Nesbit_Moor_(1402),1402 AD
Battle of Homildon Hill,https://en.wikipedia.org/wiki/Battle_of_Homildon_Hill,1402 AD
