battle,link,date,latitude,longitude
Battle of Rhium,https://en.wikipedia.org/wiki/Battle_of_Rhium,429 BC,38.3,21.783
Battle of Naupactus,https://en.wikipedia.org/wiki/Battle_of_Naupactus_(429_BC),429 BC,38.3914,21.8297
Battle of Olpae,https://en.wikipedia.org/wiki/Battle_of_Olpae,426 BC,38.949996,21.149835
Battle of Pylos,https://en.wikipedia.org/wiki/Battle_of_Pylos,425 BC,36.917,21.7
Battle of Sphacteria,https://en.wikipedia.org/wiki/Battle_of_Sphacteria,425 BC,36.9301361,21.665725
Battle of Delium,https://en.wikipedia.org/wiki/Battle_of_Delium,424 BC,38.34806,23.64917
Battle of Amphipolis,https://en.wikipedia.org/wiki/Battle_of_Amphipolis,422 BC,40.823681,23.84705
Battle of Mantinea,https://en.wikipedia.org/wiki/Battle_of_Mantinea_(418_BC),418 BC,37.6,22.4
Battle of Melos,https://en.wikipedia.org/wiki/Battle_of_Melos,415 BC,36.683,24.417
Battle of Syracuse,https://en.wikipedia.org/wiki/Battle_of_Syracuse_(415_BC),415 BC,37.0833,15.2833
Battle of Cynossema,https://en.wikipedia.org/wiki/Battle_of_Cynossema,411 BC,40.142369,26.38775
Battle of Cyzicus,https://en.wikipedia.org/wiki/Battle_of_Cyzicus,410 BC,40.38,27.89
Battle of Notium,https://en.wikipedia.org/wiki/Battle_of_Notium,406 BC,37.99278,26.8475
Battle of Arginusae,https://en.wikipedia.org/wiki/Battle_of_Arginusae,406 BC,39.033,26.8
Siege of Akragas (406 BC),https://en.wikipedia.org/wiki/Siege_of_Akragas_(406_BC),406 BC,37.317,13.583
Battle of Aegospotami,https://en.wikipedia.org/wiki/Battle_of_Aegospotami,405 BC,40.25,26.55
Sack of Camarina (405 BC),https://en.wikipedia.org/wiki/Sack_of_Camarina_(405_BC),405 BC,36.8721,14.4477
Battle of Munychia,https://en.wikipedia.org/wiki/Battle_of_Munychia,404 or 403 BC,37.941,23.656
Battle of Cunaxa,https://en.wikipedia.org/wiki/Battle_of_Cunaxa,401 BC,33.325,44.08
Siege of Syracuse (397 BC),https://en.wikipedia.org/wiki/Siege_of_Syracuse_(397_BC),397 BC,37.06917,15.2875
Battle of Veii,https://en.wikipedia.org/wiki/Battle_of_Veii,396 BC,42.02389,12.40139
Battle of Haliartus,https://en.wikipedia.org/wiki/Battle_of_Haliartus,395 BC,38.37917,23.08778
Battle of Sardis,https://en.wikipedia.org/wiki/Battle_of_Sardis,395 BC,38.48333,28.03333
Battle of Nemea,https://en.wikipedia.org/wiki/Battle_of_Nemea_(394_BC),394 BC,37.8089,22.7103
Battle of Cnidus,https://en.wikipedia.org/wiki/Battle_of_Cnidus,394 BC,36.68583,27.375
Battle of Coronea,https://en.wikipedia.org/wiki/Battle_of_Coronea_(394_BC),394 BC,38.35,22.967
Battle of Lechaeum,https://en.wikipedia.org/wiki/Battle_of_Lechaeum,391 BC,37.934142,22.884225
Battle of the Allia,https://en.wikipedia.org/wiki/Battle_of_the_Allia,390 BC,42.0175,12.52
Siege of Mantinea,https://en.wikipedia.org/wiki/Siege_of_Mantinea,385 BC,37.6176417,22.3928694
Battle of Naxos,https://en.wikipedia.org/wiki/Battle_of_Naxos,376 BC,37.106821,25.375576
Battle of Tegyra,https://en.wikipedia.org/wiki/Battle_of_Tegyra,375 BC,38.534199,22.957728
Battle of Leuctra,https://en.wikipedia.org/wiki/Battle_of_Leuctra,371 BC,38.26466,23.17428
Battle of Cynoscephalae,https://en.wikipedia.org/wiki/Battle_of_Cynoscephalae_(364_BC),364 BC,39.36,22.83
Battle of Mantinea,https://en.wikipedia.org/wiki/Battle_of_Mantinea_(362_BC),362 BC,37.6,22.4
Battle of Mount Gaurus,https://en.wikipedia.org/wiki/Battle_of_Mount_Gaurus,343 BC,40.84861111,14.05361111
Battle of Suessula,https://en.wikipedia.org/wiki/Battle_of_Suessula,343 BC,40.983,14.4
Battle of Maling,https://en.wikipedia.org/wiki/Battle_of_Maling,342 BC,35.8858,115.3975
Battle of Vesuvius,https://en.wikipedia.org/wiki/Battle_of_Vesuvius,339 BC,40.8211,14.4261
Battle of the Crimissus,https://en.wikipedia.org/wiki/Battle_of_the_Crimissus,339 BC,37.94083,12.8375
Battle of Chaeronea,https://en.wikipedia.org/wiki/Battle_of_Chaeronea_(338_BC),338 BC,38.35,22.967
Battle of the Granicus,https://en.wikipedia.org/wiki/Battle_of_the_Granicus,334 BC,40.3167082,27.2811127
Siege of Miletus,https://en.wikipedia.org/wiki/Siege_of_Miletus,334 BC,37.53028,27.27833
Siege of Halicarnassus,https://en.wikipedia.org/wiki/Siege_of_Halicarnassus,334 BC,37.0333,27.4333
Battle of Issus,https://en.wikipedia.org/wiki/Battle_of_Issus,333 BC,36.7525,36.1923
Siege of Tyre (332 BC),https://en.wikipedia.org/wiki/Siege_of_Tyre_(332_BC),332 BC,33.27083,35.19611
Siege of Gaza,https://en.wikipedia.org/wiki/Siege_of_Gaza,332 BC,31.517,34.45
Battle of Megalopolis,https://en.wikipedia.org/wiki/Battle_of_Megalopolis,331 BC,37.4011,22.1422
Battle of Gaugamela,https://en.wikipedia.org/wiki/Battle_of_Gaugamela,331 BC,36.56,43.444
Battle of the Uxian Defile,https://en.wikipedia.org/wiki/Battle_of_the_Uxian_Defile,331 BC,32.19056,48.25056
Battle of the Persian Gate,https://en.wikipedia.org/wiki/Battle_of_the_Persian_Gate,330 BC,30.70833,51.59861
Siege of Cyropolis,https://en.wikipedia.org/wiki/Siege_of_Cyropolis,329 BC,40.283333,69.633333
Battle of Jaxartes,https://en.wikipedia.org/wiki/Battle_of_Jaxartes,329 BC,40.28333,69.61667
Capture of Neapolis,https://en.wikipedia.org/wiki/Capture_of_Neapolis,327 BC,40.8333,14.25
Siege of the Sogdian Rock,https://en.wikipedia.org/wiki/Siege_of_the_Sogdian_Rock,327 BC,40.4,69.4
Battle of the Hydaspes,https://en.wikipedia.org/wiki/Battle_of_the_Hydaspes,326 BC,32.82778,73.63889
Battle of Thermopylae (323 BC),https://en.wikipedia.org/wiki/Battle_of_Thermopylae_(323_BC),323 BC,38.8053,22.5628
Battle of the Caudine Forks,https://en.wikipedia.org/wiki/Battle_of_the_Caudine_Forks,321 BC,41.15,14.5333
Battle of the Hellespont (321 BC),https://en.wikipedia.org/wiki/Battle_of_the_Hellespont_(321_BC),321 BC,40.0,28.0
Battle of Byzantium,https://en.wikipedia.org/wiki/Battle_of_Byzantium,317 BC,40.2,26.4
Battle of Paraitakene,https://en.wikipedia.org/wiki/Battle_of_Paraitakene,317 BC,32.6333,51.65
Battle of Gabiene,https://en.wikipedia.org/wiki/Battle_of_Gabiene,315 BC,31.777205,51.801649
Battle of Gaza,https://en.wikipedia.org/wiki/Battle_of_Gaza_(312_BC),312 BC,31.517,34.45
Battle of Himera,https://en.wikipedia.org/wiki/Battle_of_the_Himera_River_(311_BC),311 BC,37.1,13.933
Battle of Lake Vadimo,https://en.wikipedia.org/wiki/Battle_of_Lake_Vadimo_(310_BC),310 BC,42.484194,12.323194
Battle of Salamis in Cyprus (306 BC),https://en.wikipedia.org/wiki/Battle_of_Salamis_in_Cyprus_(306_BC),306 BC,35.167,33.917
Battle of Bovianum,https://en.wikipedia.org/wiki/Battle_of_Bovianum,305 BC,41.48333306,14.46666694
Siege of Rhodes (305 BC),https://en.wikipedia.org/wiki/Siege_of_Rhodes_(305_BC),305-304 BC,36.1667,28.0
Battle of Ipsus,https://en.wikipedia.org/wiki/Battle_of_Ipsus,301 BC,38.95,30.99
Battle of Camerinum,https://en.wikipedia.org/wiki/Battle_of_Camerinum,298 BC,43.14027806,13.06888889
Battle of Tifernum,https://en.wikipedia.org/wiki/Battle_of_Tifernum,297 BC,43.46083306,12.24388889
Battle of Yique,https://en.wikipedia.org/wiki/Battle_of_Yique,293 BC,34.55556,112.46972
Siege of Thebes,https://en.wikipedia.org/wiki/Siege_of_Thebes_(292%E2%80%93291_BC),291 BC,38.3241694,23.3236111
Battle of Arretium,https://en.wikipedia.org/wiki/Battle_of_Arretium,284 BC,43.463,11.883306
Battle of Lake Vadimo,https://en.wikipedia.org/wiki/Battle_of_Lake_Vadimo_(283_BC),283 BC,42.484145,12.32319194
Battle of Corupedium,https://en.wikipedia.org/wiki/Battle_of_Corupedium,281 BC,38.546466,27.617792
Battle of Heraclea,https://en.wikipedia.org/wiki/Battle_of_Heraclea,280 BC,40.22,16.66972
Battle of Asculum,https://en.wikipedia.org/wiki/Battle_of_Asculum,279 BC,41.2156,15.5578
Battle of Thermopylae (279 BC),https://en.wikipedia.org/wiki/Battle_of_Thermopylae_(279_BC),279 BC,38.8053,22.5628
Battle of Beneventum,https://en.wikipedia.org/wiki/Battle_of_Beneventum_(275_BC),275 BC,41.133,14.783
Siege of Sparta,https://en.wikipedia.org/wiki/Siege_of_Sparta,272 BC,37.08194,22.42361
Battle of Argos,https://en.wikipedia.org/wiki/Battle_of_Argos,272 BC,37.617,22.717
Battle of Messana,https://en.wikipedia.org/wiki/Battle_of_Messana,264 BC,38.18,15.5614
Battle of Agrigentum,https://en.wikipedia.org/wiki/Battle_of_Agrigentum,262 BC,37.3167,13.5833
Battle of Cos,https://en.wikipedia.org/wiki/Battle_of_Cos,261 BC,36.85,27.2333
Battle of Changping,https://en.wikipedia.org/wiki/Battle_of_Changping,260 BC,35.79806,112.92389
Battle of the Lipara Islands,https://en.wikipedia.org/wiki/Battle_of_the_Lipara_Islands,260 BC,38.4725,14.96083
Battle of Mylae,https://en.wikipedia.org/wiki/Battle_of_Mylae,260 BC,38.2167,15.2333
Battle of Sulci,https://en.wikipedia.org/wiki/Battle_of_Sulci,258 BC,39.0667,8.45
Battle of Tyndaris,https://en.wikipedia.org/wiki/Battle_of_Tyndaris,257 BC,38.14556,15.03972
Battle of Cape Ecnomus,https://en.wikipedia.org/wiki/Battle_of_Cape_Ecnomus,256 BC,37.05,13.9
Siege of Aspis,https://en.wikipedia.org/wiki/Siege_of_Aspis,255 BC,36.85,11.1
Battle of Adys,https://en.wikipedia.org/wiki/Battle_of_Adys,255 BC,36.60694,10.17361
Battle of Tunis,https://en.wikipedia.org/wiki/Battle_of_Tunis,255 BC,36.7975,10.1659
Battle of Panormus,https://en.wikipedia.org/wiki/Battle_of_Panormus,251 BC,38.117,13.367
Siege of Lilybaeum (250–241 BC),https://en.wikipedia.org/wiki/Siege_of_Lilybaeum_(250%E2%80%93241_BC),250 BC,37.8025,12.43
Battle of Drepana,https://en.wikipedia.org/wiki/Battle_of_Drepana,249 BC,38.01,12.505
Battle of Phintias,https://en.wikipedia.org/wiki/Battle_of_Phintias,249 BC,38.0167,12.5167
Siege of Drepana,https://en.wikipedia.org/wiki/Siege_of_Drepana,248 BC,38.0167,12.5167
Battle of the Aegates Islands,https://en.wikipedia.org/wiki/Battle_of_the_Aegates_Islands,241 BC,37.97,12.2
Battle of Utica,https://en.wikipedia.org/wiki/Battle_of_Utica,240 BC,37.058052,10.062855
Battle of the Bagradas River,https://en.wikipedia.org/wiki/Battle_of_the_Bagradas_River_(240_BC),240 BC,37.11,10.13
Battle of Mount Lycaeum,https://en.wikipedia.org/wiki/Battle_of_Mount_Lycaeum,227 BC,37.45694,21.975
Battle of Faesulae,https://en.wikipedia.org/wiki/Battle_of_Faesulae,225 BC,43.46027806,12.38638889
Battle of Telamon,https://en.wikipedia.org/wiki/Battle_of_Telamon,225 BC,42.555,11.133
Battle of Clastidium,https://en.wikipedia.org/wiki/Battle_of_Clastidium,222 BC,45.01666694,9.13333306
Battle of Sellasia,https://en.wikipedia.org/wiki/Battle_of_Sellasia,222 BC,37.167,22.417
Siege of Saguntum,https://en.wikipedia.org/wiki/Siege_of_Saguntum,218 BC,39.677,-0.28
Battle of Lilybaeum,https://en.wikipedia.org/wiki/Battle_of_Lilybaeum,218 BC,37.8,12.43333306
Battle of Rhone Crossing,https://en.wikipedia.org/wiki/Battle_of_Rhone_Crossing,218 BC,44.13833306,4.80972194
Battle of the Ticinus,https://en.wikipedia.org/wiki/Battle_of_the_Ticinus,218 BC,45.25,8.86667
Battle of the Trebia,https://en.wikipedia.org/wiki/Battle_of_the_Trebia,218 BC,45.05,9.6
Battle of Cissa,https://en.wikipedia.org/wiki/Battle_of_Cissa,218 BC,41.1157,1.2496
Battle of Raphia,https://en.wikipedia.org/wiki/Battle_of_Raphia,217 BC,31.28861,34.25194
Battle of Lake Trasimene,https://en.wikipedia.org/wiki/Battle_of_Lake_Trasimene,217 BC,43.1975,12.085
Battle of Ebro River,https://en.wikipedia.org/wiki/Battle_of_Ebro_River,217 BC,40.72,0.86306
Battle of Ager Falernus,https://en.wikipedia.org/wiki/Battle_of_Ager_Falernus,217 BC,41.1833,14.55
Battle of Geronium,https://en.wikipedia.org/wiki/Battle_of_Geronium,217 BC,41.7618,14.7334
Battle of Cannae,https://en.wikipedia.org/wiki/Battle_of_Cannae,216 BC,41.30639,16.1325
First Battle of Nola,https://en.wikipedia.org/wiki/First_Battle_of_Nola,216 BC,40.9261,14.5275
Battle of Dertosa,https://en.wikipedia.org/wiki/Battle_of_Dertosa,215 BC,40.8,0.516
Second Battle of Nola,https://en.wikipedia.org/wiki/Second_Battle_of_Nola,215 BC,40.9261,14.5275
Battle of Cornus,https://en.wikipedia.org/wiki/Battle_of_Cornus,215 BC,40.09333,8.50806
Third Battle of Nola,https://en.wikipedia.org/wiki/Third_Battle_of_Nola,214 BC,40.9261,14.5275
Battle of Beneventum,https://en.wikipedia.org/wiki/Battle_of_Beneventum_(214_BC),214 BC,41.1333,14.7833
Siege of Syracuse,https://en.wikipedia.org/wiki/Siege_of_Syracuse_(214%E2%80%93212_BC),214 BC,37.0833,15.2833
Battle of Tarentum,https://en.wikipedia.org/wiki/Battle_of_Tarentum_(212_BC),212 BC,40.467,17.233
First Battle of Capua,https://en.wikipedia.org/wiki/Battle_of_Capua_(212_BC),212 BC,41.0833,14.25
Battle of Beneventum,https://en.wikipedia.org/wiki/Battle_of_Beneventum_(212_BC),212 BC,41.1333,14.7833
Battle of the Silarus,https://en.wikipedia.org/wiki/Battle_of_the_Silarus,212 BC,40.48162806,14.94253111
Battle of Herdonia,https://en.wikipedia.org/wiki/Battle_of_Herdonia,212 BC,41.3167,15.6333
Battle of the Upper Baetis,https://en.wikipedia.org/wiki/Battle_of_the_Upper_Baetis,211 BC,36.783,-6.35
Second Battle of Capua,https://en.wikipedia.org/wiki/Second_Battle_of_Capua,211 BC,41.0833,14.25
Second Battle of Herdonia,https://en.wikipedia.org/wiki/Second_Battle_of_Herdonia,210 BC,41.3167,15.6333
Battle of Numistro,https://en.wikipedia.org/wiki/Battle_of_Numistro,210 BC,38.975597,16.319791
Battle of Canusium,https://en.wikipedia.org/wiki/Battle_of_Canusium,209 BC,41.2366,16.066
Battle of Tarentum,https://en.wikipedia.org/wiki/Battle_of_Tarentum_(209_BC),209 BC,40.467,17.233
Battle of Baecula,https://en.wikipedia.org/wiki/Battle_of_Baecula,208 BC,38.007,-3.119
Battle of Grumentum,https://en.wikipedia.org/wiki/Battle_of_Grumentum,207 BC,40.28389,15.90611
Battle of Julu,https://en.wikipedia.org/wiki/Battle_of_Julu,207 BC,37.0667,114.4833
Battle of the Metaurus,https://en.wikipedia.org/wiki/Battle_of_the_Metaurus,207 BC,43.7824,13.0145
Battle of Cartagena,https://en.wikipedia.org/wiki/Battle_of_Cartagena_(207_BC),207 BC,37.6,-0.983
Battle of Mantinea,https://en.wikipedia.org/wiki/Battle_of_Mantinea_(207_BC),207 BC,37.6,22.4
Battle of Ilipa,https://en.wikipedia.org/wiki/Battle_of_Ilipa,206 BC,37.548825,-5.936332
Battle of Pengcheng,https://en.wikipedia.org/wiki/Battle_of_Pengcheng,205 BC,34.267,117.167
Battle of Anyi,https://en.wikipedia.org/wiki/Battle_of_Anyi,205 BC,28.845,115.54889
Battle of Crotona,https://en.wikipedia.org/wiki/Battle_of_Crotona,204 BC,39.0833,17.1167
Battle of Utica,https://en.wikipedia.org/wiki/Battle_of_Utica_(204_BC),204 BC,37.05694,10.06194
Battle of Utica,https://en.wikipedia.org/wiki/Battle_of_Utica_(203_BC),203 BC,37.0565,10.0623
Battle of Bagbrades,https://en.wikipedia.org/wiki/Battle_of_Bagbrades,203 BC,37.057944,10.0625972
Battle of Cirta,https://en.wikipedia.org/wiki/Battle_of_Cirta,203 BC,36.3675,6.6119
Po Valley Raid,https://en.wikipedia.org/wiki/Po_Valley_Raid,203 BC,45.46666694,9.16666694
Battle of Zama,https://en.wikipedia.org/wiki/Battle_of_Zama,202 BC,36.29889,9.44917
Battle of Gaixia,https://en.wikipedia.org/wiki/Battle_of_Gaixia,202 BC,33.32777806,117.55111111
Battle of Lade,https://en.wikipedia.org/wiki/Battle_of_Lade_(201_BC),201 BC,37.530233,27.278369
Battle of Panium,https://en.wikipedia.org/wiki/Battle_of_Panium,200 BC,33.24861,35.69444
Battle of the Aous,https://en.wikipedia.org/wiki/Battle_of_the_Aous_(198_BC),198 BC,40.64278,19.31722
Battle of Cynoscephalae,https://en.wikipedia.org/wiki/Battle_of_Cynoscephalae,197 BC,39.417,22.567
Battle of Placentia,https://en.wikipedia.org/wiki/Battle_of_Placentia_(194_BC),194 BC,45.03333306,9.7
Battle of Mutina,https://en.wikipedia.org/wiki/Battle_of_Mutina_(194_BC),194 BC,45.03333306,9.7
Battle of Thermopylae,https://en.wikipedia.org/wiki/Battle_of_Thermopylae_(191_BC),191 BC,38.8,22.5333
Battle of the Eurymedon,https://en.wikipedia.org/wiki/Battle_of_the_Eurymedon_(190_BC),190 BC,36.46,31.232
Battle of Myonessus,https://en.wikipedia.org/wiki/Battle_of_Myonessus,190 BC,38.0244,26.5118
Battle of Magnesia,https://en.wikipedia.org/wiki/Battle_of_Magnesia,190 BC,38.6167,27.4333
Battle of Mount Olympus,https://en.wikipedia.org/wiki/Battle_of_Mount_Olympus,189 BC,40.06944,29.22139
Battle of Callicinus,https://en.wikipedia.org/wiki/Battle_of_Callicinus,171 BC,39.632098,22.419935
Battle of Pydna,https://en.wikipedia.org/wiki/Battle_of_Pydna,168 BC,40.36528,22.61306
Battle of Wadi Haramia,https://en.wikipedia.org/wiki/Battle_of_Wadi_Haramia,167 BC,32.05444,35.24083
Battle of Beth Horon (166 BC),https://en.wikipedia.org/wiki/Battle_of_Beth_Horon_(166_BC),166 BC,31.8855,35.1154
Battle of Emmaus,https://en.wikipedia.org/wiki/Battle_of_Emmaus,166 BC,31.8393,34.9894583
Battle of Beth Zur,https://en.wikipedia.org/wiki/Battle_of_Beth_Zur,164 BC,31.5894,35.0942
Battle of Beth Zachariah,https://en.wikipedia.org/wiki/Battle_of_Beth_Zachariah,162 BC,31.664,35.12325
Battle of Adasa,https://en.wikipedia.org/wiki/Battle_of_Adasa,161 BC,31.8333,35.2333
Battle of Elasa,https://en.wikipedia.org/wiki/Battle_of_Elasa,160 BC,31.8760833,35.2083056
Battle of Lake Tunis,https://en.wikipedia.org/wiki/Battle_of_Lake_Tunis,149 BC,36.817,10.25
Battle of Pydna,https://en.wikipedia.org/wiki/Battle_of_Pydna_(148_BC),148 BC,40.36666694,22.58333306
Battle of Nepheris,https://en.wikipedia.org/wiki/Battle_of_Nepheris_(147_BC),147 BC,36.61510611,10.38306806
Battle of Carthage (c.149 BC),https://en.wikipedia.org/wiki/Battle_of_Carthage_(c.149_BC),146 BC,36.8531,10.3231
Battle of Corinth,https://en.wikipedia.org/wiki/Battle_of_Corinth_(146_BC),146 BC,37.9053,22.8802
Siege of Numantia,https://en.wikipedia.org/wiki/Siege_of_Numantia,133 BC,41.8096,-2.4443
Battle of Ecbatana,https://en.wikipedia.org/wiki/Battle_of_Ecbatana,129 BC,34.7961,48.5158
Siege of Cirta,https://en.wikipedia.org/wiki/Siege_of_Cirta,113 BC,36.3675,6.611944
Siege of Zama,https://en.wikipedia.org/wiki/Siege_of_Zama,109 BC,36.112,9.2856
Siege of Thala,https://en.wikipedia.org/wiki/Siege_of_Thala,108 BC,35.567,8.667
Battle of Arausio,https://en.wikipedia.org/wiki/Battle_of_Arausio,105 BC,44.13333306,4.8
Battle of Aquae Sextae,https://en.wikipedia.org/wiki/Battle_of_Aquae_Sextae,102 BC,43.52806,5.45194
Battle of Vercellae,https://en.wikipedia.org/wiki/Battle_of_Vercellae,101 BC,45.31666694,8.41666694
Battle of Gadara,https://en.wikipedia.org/wiki/Battle_of_Gadara,93 BC,32.65,35.683333
Battle of Fucine Lake,https://en.wikipedia.org/wiki/Battle_of_Fucine_Lake,89 BC,41.995,13.54722194
Battle of Asculum,https://en.wikipedia.org/wiki/Battle_of_Asculum_(89_BC),89 BC,41.995,13.54722194
Battle of the River Amnias,https://en.wikipedia.org/wiki/Battle_of_the_River_Amnias,89 BC,40.4238,34.136
